Date,medtecs,sti,topglove
2018-09-03,0.037,3.33,1.85
2018-09-04,0.037,3.34,1.83
2018-09-05,0.037,3.28,1.85
2018-09-06,0.036,3.26,1.84
2018-09-07,0.035,3.25,1.84
2018-09-10,0.035,3.24,1.84
2018-09-11,0.035,3.22,1.84
2018-09-12,0.034,3.25,1.75
2018-09-13,0.034,3.24,1.705
2018-09-14,0.034,3.28,1.705
2018-09-17,0.034,3.26,1.705
2018-09-18,0.034,3.25,1.72
2018-09-19,0.03,3.3,1.72
2018-09-20,0.03,3.3,1.72
2018-09-21,0.03,3.35,1.775
2018-09-24,0.03,3.35,1.775
2018-09-25,0.036,3.36,1.775
2018-09-26,0.033,3.37,1.775
2018-09-27,0.033,3.36,1.775
2018-09-28,0.033,3.38,1.765
2018-10-01,0.033,3.38,1.765
2018-10-02,0.033,3.36,1.76
2018-10-03,0.033,3.38,1.75
2018-10-04,0.033,3.35,1.75
2018-10-05,0.033,3.33,1.75
2018-10-08,0.033,3.31,1.75
2018-10-09,0.033,3.28,1.75
2018-10-10,0.032,3.26,1.75
2018-10-11,0.032,3.17,1.775
2018-10-12,0.032,3.2,1.8
2018-10-15,0.032,3.17,1.875
2018-10-16,0.032,3.15,1.915
2018-10-17,0.032,3.2,1.88
2018-10-18,0.032,3.17,1.88
2018-10-19,0.032,3.18,1.925
2018-10-22,0.032,3.19,1.925
2018-10-23,0.032,3.15,1.925
2018-10-24,0.032,3.16,1.925
2018-10-25,0.032,3.14,1.925
2018-10-26,0.032,3.08,1.88
2018-10-29,0.027,3.09,1.88
2018-10-30,0.027,3.08,1.88
2018-10-31,0.027,3.13,1.89
2018-11-01,0.027,3.19,1.88
2018-11-02,0.027,3.25,1.9
2018-11-05,0.027,3.19,1.9
2018-11-07,0.027,3.18,1.9
2018-11-08,0.027,3.21,1.9
2018-11-09,0.027,3.2,1.9
2018-11-12,0.027,3.18,1.9
2018-11-13,0.027,3.16,1.91
2018-11-14,0.027,3.14,1.88
2018-11-15,0.027,3.17,1.88
2018-11-16,0.027,3.17,1.88
2018-11-19,0.027,3.18,1.88
2018-11-20,0.027,3.15,1.88
2018-11-21,0.027,3.16,1.88
2018-11-22,0.033,3.16,1.87
2018-11-23,0.033,3.17,1.94
2018-11-26,0.033,3.2,1.94
2018-11-27,0.033,3.21,1.94
2018-11-28,0.033,3.21,2.04
2018-11-29,0.03,3.23,2.14
2018-11-30,0.03,3.24,2.1
2018-12-03,0.029,3.31,2.1
2018-12-04,0.029,3.3,2.1
2018-12-05,0.029,3.27,2.0
2018-12-06,0.029,3.23,2.0
2018-12-07,0.029,3.23,2.0
2018-12-10,0.029,3.19,2.0
2018-12-11,0.03,3.19,2.0
2018-12-12,0.03,3.22,1.99
2018-12-13,0.03,3.24,1.99
2018-12-14,0.03,3.19,1.99
2018-12-17,0.03,3.23,1.99
2018-12-18,0.03,3.18,1.95
2018-12-19,0.03,3.19,1.86
2018-12-20,0.03,3.18,1.85
2018-12-21,0.03,3.18,1.85
2018-12-24,0.03,3.17,1.95
2018-12-26,0.03,3.13,1.95
2018-12-27,0.03,3.17,1.89
2018-12-28,0.03,3.18,1.89
2018-12-31,0.03,3.2,1.89
2019-01-01,0.03,3.2,1.89
2019-01-02,0.029,3.11,1.87
2019-01-03,0.029,3.07,1.87
2019-01-04,0.029,3.07,1.85
2019-01-07,0.029,3.15,1.78
2019-01-08,0.03,3.19,1.73
2019-01-09,0.03,3.21,1.68
2019-01-10,0.03,3.25,1.61
2019-01-11,0.03,3.26,1.65
2019-01-14,0.03,3.25,1.62
2019-01-15,0.03,3.28,1.59
2019-01-16,0.03,3.29,1.6
2019-01-17,0.03,3.28,1.6
2019-01-18,0.028,3.3,1.61
2019-01-21,0.029,3.3,1.62
2019-01-22,0.029,3.27,1.62
2019-01-23,0.029,3.23,1.61
2019-01-24,0.029,3.26,1.64
2019-01-25,0.029,3.27,1.64
2019-01-28,0.029,3.27,1.63
2019-01-29,0.029,3.26,1.63
2019-01-30,0.029,3.24,1.6
2019-01-31,0.029,3.27,1.6
2019-02-01,0.029,3.26,1.6
2019-02-04,0.029,3.26,1.6
2019-02-05,0.029,3.26,1.6
2019-02-07,0.029,3.26,1.62
2019-02-08,0.029,3.27,1.62
2019-02-11,0.029,3.27,1.6
2019-02-12,0.029,3.27,1.6
2019-02-13,0.029,3.31,1.61
2019-02-14,0.029,3.32,1.61
2019-02-15,0.029,3.3,1.61
2019-02-18,0.029,3.35,1.63
2019-02-19,0.029,3.34,1.69
2019-02-20,0.029,3.35,1.67
2019-02-21,0.029,3.36,1.67
2019-02-22,0.029,3.34,1.61
2019-02-25,0.029,3.34,1.61
2019-02-26,0.029,3.33,1.61
2019-02-27,0.029,3.32,1.57
